liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -2.0000, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.8182, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.6364, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.4545, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.2727, -Inf, 0, 1 sequences
liver, temp, end_point, -1.0909, -Inf, 0, 1 sequences
liver, temp, end_point, -1.0909, -Inf, 0, 1 sequences
liver, temp, end_point, -1.0909, -Inf, 0, 1 sequences
